female_word,female_score,male_word,male_score
you,0.01013392733145256,.,0.023189448391885175
hot,0.010014874889348109,the,0.01576693553722496
your,0.008757284030758556,",",0.011253822875863248
i,0.008582779189178076,is,0.011098822409815183
my,0.006037214154539213,a,0.010640529611507257
with,0.005697059881890484,to,0.010332569974654919
!,0.00545312899518896,?,0.009867304126153864
sex,0.005344372429642161,and,0.009662851789374786
date,0.0042619310037044,of,0.009621175751105389
if,0.004238915097035848,in,0.008851026174997691
